Job Title,Company Name,Location,Job Link,Recommended Resume,Missing Keywords to Add,Match Score
Software Engineer - Content Ingestion,roku,"Austin, Texas",https://www.weareroku.com/jobs/8158015?gh_jid=8158015,SWE,C++ -> Programming Languages line; Bash/Shell -> Programming Languages line,5
"Software Engineer, Embedded Agentic AI",roku,"Austin, Texas",https://www.weareroku.com/jobs/7991641?gh_jid=7991641,ML,Observability (no matching line yet); Docker -> Cloud / DevOps / MLOps Tools line; C++ -> Programming Languages line,4
"Software Engineer, Embedded Agentic AI",roku,"San Jose, California",https://www.weareroku.com/jobs/8065793?gh_jid=8065793,ML,Observability (no matching line yet); Docker -> Cloud / DevOps / MLOps Tools line; C++ -> Programming Languages line,4
"Software Engineer III, Infrastructure, Infra Spanner",google,"Sunnyvale, CA, USA",https://www.google.com/about/careers/applications/jobs/results/93036433253507782,ML,C++ -> Programming Languages line,5
"Software Engineer III, Android, Geo",google,"San Francisco, CA, USA",https://www.google.com/about/careers/applications/jobs/results/109889747484058310,ML,,5
(Human) Systems Engineer,jhuapl,"Laurel, Maryland",https://careers.jhuapl.edu/jobs/59827,,,
"Software Engineer III, Google Distributed Cloud AI Storage",google,"Sunnyvale, CA, USA",https://www.google.com/about/careers/applications/jobs/results/81105770019463878,ML,Linux/Unix -> Cloud / DevOps / MLOps Tools line; C++ -> Programming Languages line,4
"Software Engineer III, Infra, Core Communications",google,"San Jose, CA, USA",https://www.google.com/about/careers/applications/jobs/results/75489138207269574,ML,,5
"Data Engineer,  AWS DC Central Operations",amazon,"Seattle, Washington, USA",https://www.amazon.jobs/en/jobs/10519392/data-engineer-aws-dc-central-operations,DE,Data Warehousing -> Databases & Storage line; Observability -> Cloud / DevOps / MLOps line,5
Software Engineer II,uber,"Sunnyvale, CA, United States",https://iaziqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/UberCareers/job/301386,SWE,gRPC -> Systems & Distributed Computing line; C++ -> Programming Languages line,5
AI Materials Research Engineer,amat,"Santa Clara,CA",https://amat.wd1.myworkdayjobs.com/External/job/Santa-ClaraCA/AI-Materials-Research-Engineer_R2626716,ML,,5
Software Development Engineer,stryker,"Indiana, Fort Wayne 1950 West Cook Road",https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Indiana-Fort-Wayne-1950-West-Cook-Road/Software-Development-Engineer_R570340,SWE,,5
Software Engineer L2 - Cloud Infrastructure,twilio,Remote - US,https://job-boards.greenhouse.io/twilio/jobs/7434770,SWE,Bash/Shell -> Programming Languages line,5
Software Engineer - Video,twilio,Remote - US,https://job-boards.greenhouse.io/twilio/jobs/7661919,SWE,Azure -> Cloud / DevOps / MLOps line,5
